Designator,Mid X,Mid Y,Rotation,Layer
C1,88.35,-78.298,270.0,top
D1,93.0,-60.0,0.0,top
D2,85.0,-60.0,0.0,top
D3,77.0,-60.0,0.0,top
D4,69.0,-60.0,0.0,top
D5,37.0,-60.0,0.0,top
D6,45.0,-60.0,0.0,top
D7,53.0,-60.0,0.0,top
D8,61.0,-60.0,0.0,top
J1,62.5,-24.072,180.0,top
J2,77.082,-84.96,0.0,top
K1,90.0,-45.16,270.0,top
K2,82.0,-45.16,270.0,top
K3,74.0,-45.16,270.0,top
K4,66.0,-45.16,270.0,top
K5,34.0,-45.16,270.0,top
K6,42.0,-45.16,270.0,top
K7,50.0,-45.16,270.0,top
K8,58.0,-45.16,270.0,top
R1,93.0,-62.5,0.0,top
R2,85.0,-62.5,0.0,top
R3,77.0,-62.5,0.0,top
R4,69.0,-62.5,0.0,top
R5,37.0,-62.5,0.0,top
R6,45.0,-62.5,0.0,top
R7,53.0,-62.5,0.0,top
R8,61.0,-62.5,0.0,top
U1,77.43,-71.19,270.0,top
